Issue key,Issue id,Custom field (Exposure),Summary,Reporter,Created,Custom field (Customer Name),Custom field (State Reason),Component/s,Component/s,Custom field (Closed Reason),Status,Custom field (Found in build),Custom field (Fix in Build),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Custom field (Tested Hardware),Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Priority,Assignee,Custom field (Root Cause),Resolution
WIFI-8830,450131,1-Critical,[Lenovo-IdeaPad]BIOS SAR can not be read by ANT with 20.50.2.1 driver,caizhiqi,12/Apr/18 4:23 PM,Lenovo - IdeaPad,Fixed,WinDriver->System flows,,,Closed,20.50.2.1,STHWFW2971_20.60.0.2 ,Thunder Peak 2 (9260),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,mchechik,incorrect reading of BIOS data,Fixed
WIFI-8828,450133,2-High,[LG][13Z980][KBL-R/8265/Win10 RS3] Miracast connection to 3rd party WiFi sink fails,frankfcy,12/Apr/18 3:27 PM,LG,Fixed,3rd Party,,,Closed,20.50.0.4(STHWFW2908G),STHWFW3210_20.70.0.2,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,Miracast,WiFi_WIN:99.0.38.3,,,,,,,,,P2-High,frankfcy,"The 3rd party GO is configured to category 7 (Display) subcategory 0 (Unknown).
The driver treats the Unknown value as mobile device, therefore the connection fails on UNII-1 (both sides are Mobile).

Following to the requirement from NoamG & EladO & Wiilfrid,  the P2P client regulatory check should be removed.
The assumption is that the GO should be the responsible for choosing the right channel according to the regulatory constraints.

",Fixed
WIFI-8774,450175,1-Critical,[Samsung][Odyssey-15z][JfP2] Tray icon appears as if the system is using wired network while system is using wifi.,frankfcy,09/Apr/18 6:35 PM,Samsung,Fixed,ProSet->SDK,,,Closed,sthwfw2908_20.50.0.4g,rel_20.80,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,mchechik,Windows 10 Wifi icon is unable to sync with proset application after restart and connect (linkup) with Access point. In order to sync we have restarted the Network List Service(netprofm) provided by the Microsoft.,Fixed
WIFI-8772,450177,2-High,[LG][13Z980][KBL-R/8265/Win10 RS3] Miracast connection fails if PC is connected to UNII-1 AP,frankfcy,09/Apr/18 3:58 PM,LG,Fixed,WinDriver->WiFi Extensions,,,Closed,20.50.0.4(STHWFW2908G),STHWFW3000_20.60.0.3,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,Miracast,NoNPI,WiFi_WIN:99.0.37.5,,,,,,,,P2-High,mchechik,"We aren't using the active GO channel during the invitation request operating channel selection.
The GO uses LB, but the HB UNII-1 was chosen in the channel selection because of the active BSS.

The fix would choose the active GO channel as the operating GO channel in the prvChSelFindFirstValidGoOperatingChannel().",Fixed
WIFI-8735,450199,2-High,"[Dell/Compal][WH-CFLH]Win10,RS4,17107,FI,Whitehaven,Stress_S4_System show BSOD DRIVER_IRQL_NOT_LESS_OR_EQUAL.",sys_cnvjira,03/Apr/18 3:15 PM,Dell,Fixed,WiAMTDriver,,,Closed,20.40.0.4,,Thunder Peak 2 (9260),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,sys_cnvjira,,Fixed
WIFI-8729,450203,2-High,[Lenovo-Thinkpad][Compal][Storm2][KBL] System - Sleep with IO Before and After (Reliability SysFund) RS4 HLK fail on Intel WLAN,flee5,02/Apr/18 9:39 PM,Lenovo - ThinkPad China,Fixed,WinDriver->Connectivity,,,Closed,20.30.0.7,,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,flee5,,Fixed
WIFI-8727,450205,1-Critical,"[Lenovo-IdeaPad][Yoga520-14IKB][Compal][Win10 RS4]Intel 8260/8265 card ""Cannot enable 5G mobile hotspot"" issue with 20.50, while 20.30&20.40 are OK",caizhiqi,02/Apr/18 8:06 PM,Lenovo - IdeaPad,Fixed,WinDriver->System flows,,,Closed,20.50.0.4,STHWFW2937_20.50.2.1,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,NoNPI,WiFi_WIN:99.0.37.4,,,,,,,,,P2-High,mchechik,incorrect reading of BIOS data,Fixed
WIFI-8723,450208,2-High,[Lenovo-ThinkPad][LCFC-TW][Walter-3][win10/9560/CFL][BSOD 0x7E Netwtw06!_hPolicyScanAtResumeSetToDefaultState] BSOD 0x7E during 3DMark test,flee5,02/Apr/18 2:42 PM,Lenovo - ThinkPad JP,Fixed,WinDriver->Connectivity,,,Closed,sthwfw2750_20.40.0.4g,,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,WiFi_WIN:99.0.37.5,,,,,,,,,P2-High,flee5,,Fixed
WIFI-8713,450214,2-High,[HP/SIO1579653][ChromiaH][CFL/9560/W10]M-SIT/ChromiaH/PV : After S3 cannot connect Project with wlan,brentonw,30/Mar/18 10:13 AM,HP,Fixed,WinDriver->WiFi Extensions,,,Closed,STHWFW2763,,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,brentonw,,Fixed
WIFI-8692,450229,2-High,[Samsung][Odyssey-15z][JfP2] Red X appears after s5 resume.,frankfcy,29/Mar/18 4:07 PM,Samsung,Fixed,WinDriver->System flows,,,Closed,STHWFW2889_20.50.0.4G,,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,Red-X,,,,,,,,,P2-High,frankfcy,,Fixed
WIFI-8657,450254,2-High,[ASUS][CFL-H][GM531GX] Tx Throughput drop from 620mbps to 380mbps,frankfcy,28/Mar/18 4:59 PM,Asus,Fixed,FW->Data Path,,,Closed,20.40.0.4,STHWFW2908_20.50.0.4,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,frankfcy,,Fixed
WIFI-8619,450282,2-High,[HP][Bolton][7265/AMD/Win10 RS3] HP 8-16 (WiFi BT coex) performance under criteria,cyeh1,27/Mar/18 11:35 AM,HP,Fixed,3rd Party->AP,,,Closed, STHWFW2524_20.30.0.7,,Stone Peak 2 D1 (7265),,,,,,,,,,,,,,,,,,,,,,BT_WW9,NoNPI,,,,,,,,,P2-High,cyeh1,,Fixed
WIFI-8617,450284,2-High,"[HP][AVZ,Pirate,Merlin,Gamora][9560/CFL/Win10 RS3] HP 8-16 (WiFi BT coex) performance under criteria",cyeh1,27/Mar/18 10:47 AM,HP,Fixed,FW->Coexistence,,,Closed, STHWFW2524_20.30.0.7,,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,BT_WW9,NoNPI,WIFI_BT_Coex,,,,,,,,P2-High,cyeh1,,Fixed
WIFI-8550,450326,2-High,[Lenovo-Thinkpad][Compal][Storm3][KBL-R] Network Properties window will flash disappear after select Intel CCKM enterprise,flee5,22/Mar/18 4:43 PM,Lenovo - ThinkPad China,Fixed,ProSet,,,Closed,20.30.0,,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,flee5,,Fixed
WIFI-8546,450329,1-Critical,[Acer-Hamm][Huaqin-NX8106]The 9560 conducted power measured by Sporton is different from module FCC report.,kjfang,22/Mar/18 11:58 AM,Acer,Fixed,System->PHY,,,Closed,STHWFW2750,OEM_DRTU_07303_11_1813_0,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,kjfang,,Fixed
WIFI-8545,450330,1-Critical,[Acer-Hamm][Huaqin-NX8106]JfP2 WiFi conducted Tx power is lower than expectation.,kjfang,22/Mar/18 11:54 AM,Acer,Fixed,FW->PHY,,,Closed,STHWFW2750,,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,kjfang,,Fixed
WIFI-8525,450347,2-High,[Dell/Pega][Grizzly][BSOD_0x7E][Netwtw06!memcpy] when run S4 aging.,sys_cnvjira,21/Mar/18 4:50 PM,Dell,Fixed,WiAMTDriver,,,Closed,20.40,"CSME FW version 1082, and host driver 20.40.2.1, 20.50.0.1, 99.36.0.2.",Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,Release,,,,,,,,,P2-High,mchechik,"Upon writing or reading a block that ends exactly on the border of shared area memory, we set the read/write offset to that border address, but that is a mistake because offset should now be 0, so that next data will be read/written at buffer start again.",Fixed
WIFI-8473,450384,2-High,[HP/SIO1568916][Cinna][AMD/9260/W10]The unit cannot connect to Miracast adapter in charms bar(TP2),brentonw,19/Mar/18 11:14 AM,HP,Fixed,WinDriver->Performance,,,Closed,STHWFW2618,STHWFW3549_20.80.0.5,Thunder Peak 2 (9260),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,mchechik,"Disable L1 for XVT (DRTU) & AMD platform.
WA for missing interrupt bug, where RX data interrupts are being detained when PCI enters L1 in AMD platform. DRTU is totally blocked, therefore, need to limit this WA for XVT only.

CC38: ae8d8cb38578d8186a8689ff71c234f53a50d0e4",Fixed
WIFI-8428,450417,1-Critical,[Lenovo-Ideapad][330-14IGM-SIT][Gemini Lake][LCFC]Intel 3165 WLAN device lost within hotspot test and recovery after 20 seconds.,caizhiqi,15/Mar/18 1:35 PM,Lenovo - IdeaPad,Fixed,WinDriver->System flows,,,Closed,20.20.0.100_sthwfw2328,STHWFW2971_20.60.0.2,Stone Peak 1 (3165),,,,,,,,,,,,,,,,,,,,,,NoNPI,WiFi_WIN:99.0.37.2,,,,,,,,,P2-High,mchechik,We were sending channel message before configuring FW that this channel is valid,Fixed
WIFI-8273,450510,2-High,[Coffee Lake H][CSLP][Dell BR MLK][RS3][BSOD_0x133 Netwtw06!dddNdisAcquireSpinLock]:BSOD (DPC WATCHDOG VIOLATION) observed while running S3 cycle (Netwtw06.sys ( Netwtw06+410c94 ) - WiFi driver),sys_cnvjira,07/Mar/18 12:43 AM,Dell,Fixed,WinDriver->System flows,,,Closed,20.40,STHWFW2971_20.60.0.2,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,WiFi_WIN:99.0.37.1,WiFi_WIN:99.0.37.2,,,,,,,,P2-High,sys_cnvjira,"the problem is that we have a race between 2 processors.
one is waiting for all DPC to finish and take spinlock
one is waiting for spinlock and take DPC
So we have a dead lock. The solution is to wait for all DPC to finish outside the spinlock
when we have load FW failure
",Fixed
WIFI-8204,450553,1-Critical,"[Lenovo_IdeaPad][Huaqin][Miix330][Ideapad D330_SIV_Connectivity][RS4] The 5GHz Hotspot of Intel 8265 UUT cannot be connected by Liteon NFA425 UUT/Huawei Mate7 Phone. [F/R: SKU9, 100%]",caizhiqi,05/Mar/18 3:30 PM,Lenovo - IdeaPad,Fixed,WinDriver->WiFi Extensions,,,Closed,20.30.0.100,STHWFW2807_20.50.0.2,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,mchechik,Upon set of 11b supported client from OS the driver push the CCK rates also to 5G band.,Fixed
WIFI-8202,450555,1-Critical,[Dell]Problem when re-install driver 20.30HF+,sys_cnvjira,05/Mar/18 3:09 PM,Dell,Fixed,ProSet->Installer,,,Closed,20.30HF and 20.40,STHWFW2864_20.40.0 and STHWFW2868_20.30.1.2,Jefferson Peak 2 Pulsar (9560),Thunder Peak 2 (9260),Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,Fireball,NoNPI,,,,,,,,,P2-High,mchechik,"RCA of the fix : Installer setup.exe loads the mup.exe where we introduce new API LoadLibaryEx() fix the raised Exceptions happens during loading of mup.exe ,where in Last builds (20.30 and 2.40 ) we introduce “SetDefaultDllDirctory()” API to fix Dll  Hijack issues, Introduce raised  issue we removed the API and introduce new API.",Fixed
WIFI-8144,450589,2-High,[Huawei][Kepler][AMD Radeon][BSOD_0x139][Netwtw06!__report_gsfailure+0x5] System got BSOD that is pointed by Netwtw06.sys while doing S3 stress test,brentonw,01/Mar/18 3:27 PM,Huawei,Fixed,WinDriver->Performance,,,Closed,20.30.0.7,STHWFW2840_20.50.0.3,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,BSOD-0x139,,,,,,,,,,P2-High,mchechik,"Hammock harbor invalid FW notification fix
WNM_80211V_TIMING_MEASUREMENT_NOTIFICATION notification
has dynamic buffer length defined in vendor specific length field.
In case this length is corrupted/incorrect, driver can perform stack
violation, while trying to copy a buffer larger than allocated.
The fix is to add another check into the MHIFF translation.

master: 190cb01ebf534c6b2a874c9c896f48d63f00a41e",Fixed
WIFI-8085,450626,1-Critical,"[HP][Cinna/AMD] WiFi driver cannot work well (YB, RedX, BSOD) on Cinna platform with ThP2 (9260) when running DRTU",cyeh1,27/Feb/18 3:02 PM,HP,Fixed,WinDriver->System flows,,,Closed,WFGDRV01697_V20.40.0.2,WFGDRV08523_V20.70.0.1_DRVdb22a3e6,Thunder Peak 2 (9260),,,,,,,,,,,,,,,,,,,,,,AMD,,,,,,,,,,P2-High,cyeh1,"Disable L1 for XVT (DRTU) & AMD platform.
WA for missing interrupt bug, where RX data interrupts are being detained when PCI enters L1 in AMD platform. DRTU is totally blocked, therefore, need to limit this WA for XVT only. Add GIO_CSR support for SuP iRegister.

ExCr: PerCI only + direct tests on AMD platform to verify that:
1. L1 is disabled for XVT --> bug is resolved
2. L1 is enabled in operational mode (non-XVT)

master: 49c5e67dd69497679e8a3c0ad3405817572831c0",Fixed
WIFI-8052,450655,2-High,[Samsung][Odyssey-15z][Jf2] [BSOD-0xCE][<Unloaded_Netwtw06.sys>+0x11dd80] BSoD appears during system booting or rebooting with 'Safe Mode with Networking'.,frankfcy,26/Feb/18 4:01 PM,Samsung,Fixed,WinDriver->System flows,,,Closed,sthwfw2618_20.30.1.2g,STHWFW2784_20.50.0.1,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,BSOD-0xCE,,,,,,,,,,P3-Medium,mchechik,"in case of failed driver entry, if we've already registered to ETW providers (and given the cb function to the OS) we didn't pass through ETW_UNREGISTER. Fixed via testing OS value + deleting the double registration to ETW providers.",Fixed
WIFI-8050,450657,2-High,[Lenovo ThinkPad][BSOD 0x50][Netwtw06!DeviceControlLayer::FwStorageAccessor::mapFile] W10: BSOD (0x50) with WLAN driver,flee5,26/Feb/18 3:27 PM,Lenovo - ThinkPad JP,Fixed,WinDriver->System flows,,,Closed,still under confirmation if 20.10.2.2 or 20.30.0.7,,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,flee5,,Fixed
WIFI-8042,450661,3-Medium,[Huawei][Kepler][AMD Radeon][WiFi] BSOD caused by Netwtw06.sys and nwifi.sys when enter OS safe mode with network capability,brentonw,25/Feb/18 6:15 PM,Huawei,Fixed,,,,Closed,20.30.0.7,STHWFW2800_20.50.0.1,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P3-Medium,mchechik,"Duplication to WIFI-7997.
",Fixed
WIFI-8033,450668,2-High,[HP/SIO1570004][Cinna][9260/AMD/W10] The wifi was not be disabled automatically when user turn on Airplane mode,brentonw,24/Feb/18 11:24 AM,HP,Fixed,WinDriver->Platform,,,Closed,STHWFW2618,STHWFW3549_20.80.0.5,Thunder Peak 2 (9260),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,mchechik,"Disable L1 for XVT (DRTU) & AMD platform.
WA for missing interrupt bug, where RX data interrupts are being detained when PCI enters L1 in AMD platform. DRTU is totally blocked, therefore, need to limit this WA for XVT only.

CC38: ae8d8cb38578d8186a8689ff71c234f53a50d0e4",Fixed
WIFI-8031,450670,2-High,[HP/SIO1570188][Cinna][9260/AMD/W10]0x133 BSOD occurred when turn on/off the Airplane mode button of setting interface.,brentonw,23/Feb/18 9:04 PM,HP,Fixed,WinDriver->System flows,,,Closed,STHWFW2618,STHWFW2731_20.40.0.4,Thunder Peak 2 (9260),,,,,,,,,,,,,,,,,,,,,,BSOD-0x133,,,,,,,,,,P2-High,mchechik,race that lead to cancel a free timer,Fixed
WIFI-8030,450671,2-High,"[HP/SIO1553815][Sax][9560/W10]DUT cannot connect Miracast after resume from S5/G3 and shows message ""Your PC or mobile device doesn't support Miracast,so it can't project wirelessly.""",brentonw,23/Feb/18 8:51 PM,HP,Fixed,WinDriver->WiFi Extensions,,,Closed,STHWFW2431,STHWFW2731_20.40.0.4,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,mchechik,Explained and documented in WIFI-5282.,Fixed
WIFI-8029,450672,2-High,"[HP/SIO1556911][HHar/Hul/Ban][9560/W10]The ""Connect to a wireless display"" button lost after Shut down.(P00RYU-B2P).",brentonw,23/Feb/18 6:27 PM,HP,Fixed,WinDriver->WiFi Extensions,,,Closed,STHWFW2618,,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,brentonw,,Fixed
WIFI-8028,450673,2-High,[HP/SIO1562298][Bumblebee][3168/W10]Couldn't reconnect to the miracast adapter after resume from ModernStandby.,brentonw,23/Feb/18 6:19 PM,HP,Fixed,WinDriver->WiFi Extensions,,,Closed,STHWFW2295,,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,brentonw,,Fixed
WIFI-8027,450674,2-High,[HP/SIO1567373][ChromiaH][9560/W10]After shut down cannot connect wireless display,brentonw,23/Feb/18 5:40 PM,HP,Fixed,WinDriver->WiFi Extensions,,,Closed,STHWFW2618,STHWFW2731_20.40.0.4 ,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,mchechik,Explained and documented in WIFI-5282.,Fixed
WIFI-7942,450737,2-High,Unexpected driver is updated to Intel BT and WiFi by WU,kjfang,20/Feb/18 1:14 PM,,Fixed,ProSet->Installer,,,Closed,"20.10 for WiFi,  20.20 for BT",,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,sdamodax,,Fixed
WIFI-7941,450738,2-High,[Samsung][Odyssey-15z] [BSID-0x7E][netwtw06!McGenControlCallbackV2] BSoD appears during system booting or rebooting with 'Safe Mode with Networking'.,frankfcy,20/Feb/18 1:05 PM,Samsung,Fixed,WinDriver->System flows,,,Closed,sthwfw2618_20.30.1.2g,STHWFW2784_20.50.0.1,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,BSOD-0x7E,BSOD-0xCE,,,,,,,,,P3-Medium,mchechik,"in case of failed driver entryk, if we've already registered to ETW providers (and given the cb function to the OS) we didn't pass through ETW_UNREGISTER. Fixed via testing OS value + deleting the double registration to ETW providers.",Fixed
WIFI-7904,450764,1-Critical,[Dell/Compal][La Ferrari] [BSOD_0x133 Netwtw06!nalCsrWaitRegBitsConfigStallEx] occurs while restarting the system with KVM remote connecting by MeshCommander,sys_cnvjira,16/Feb/18 8:48 PM,Dell,Fixed,WiAMTDriver,,,Closed,STHWFW2314,STHWFW2826_20.50.0.2,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,NoNPI,WiFi_WIN:99.0.36.4,,,,,,,,,P2-High,mchechik,Ran a time-consuming WakeMe flow at high IRQLevel (under spinlock),Fixed
WIFI-7858,450800,2-High,[Huawei][Mach][WLAN] BSOD occurred when PC is doing S3/S4 stress testing,brentonw,13/Feb/18 11:13 PM,Huawei,Fixed,WinDriver->System flows,,,Closed,20.20.2.2,STHWFW2784_20.50.0.1,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P2-High,mchechik,"When loading FW the, driver triggers WD on FW load.
In case FW load WD expired, the NIC SM enters ERROR state, before resetting FW it waits for all DPCs to complete (inside the NIC SM lock)
In case the FW load complete DPC is handled on a different core, it will try to take the NIC SM lock in order to indicate the NIC load complete event, this causes a deadlock between the thread that has the SM lock waiting for the DPC to complete and the DPC thread that is waiting for the SM lock.

Fix was to split the NIC SM reset event to 2 steps. Step one waits for all DPCs to complete inside a job (async)
This will avoid the wait for DPC to wait while taking the NIC SM lock.
Once wait for DPC is over, NIC ever RESET_STEP_2 will be triggered to continue FW reset",Fixed
WIFI-7826,450822,1-Critical,[Huawei][Mach][WLAN] SoftAP not able to receive Auth-Req from the client,brentonw,12/Feb/18 7:03 PM,Huawei,Fixed,WinDriver->WiFi Extensions,,,Closed,20.10.2.2,STHWFW2821_20.50.0.2,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,NoNPI,WiFi_WIN:99.0.36.4,,,,,,,,,P2-High,mchechik,"SOFT AP performed BG scan, therefore it missed packets from the client.",Fixed
WIFI-7813,450830,2-High,[Huawei][Mach][WLAN] BSOD occurred when PC enables Wifi hotspot,brentonw,11/Feb/18 11:04 PM,Huawei,Fixed,WinDriver->Performance,,,Closed,20.20.2.2,STHWFW2784_20.50.0.1,Windstorm Peak 2 (8265),,,,,,,,,,,,,,,,,,,,,,NoNPI,WiFi_WIN:99.0.36.2,,,,,,,,,P2-High,mchechik,"Drain runs in a job and after calling internal TX CBs.
When complete is called prior to calling internal TX CBs, peer can be removed by GO, before drain complete is called.
This can happen when GO sent DEAUTH frame to peer and drain started (in case of shared Q).
TX complete will come and will call drain complete, which will remove peer from DP DB and destroy the GO client's SM.
Later on, this frame will be forwarded to GO which will try to dispatch it into the SM which was destroyed earlier.

The fix:
1. Always call drain complete after calling internal TX CBs
2. Make sure that drain complete starts new JOB in order to break the stack
and make sure that jib runs last

master: cab5ff2100bdc7b14080071653ef9cd6f12304d0",Fixed
WIFI-7802,450839,2-High,[Dell/Compal] GNNR test failed on Intel 9462,sys_cnvjira,11/Feb/18 6:56 PM,Dell,Fixed,WinDriver->Platform,,,Closed,10.184.0-0791  INSTALL_DRIVER_MSI7966,20.50.0,Jefferson Peak 1 Pulsar (9461),,,,,,,,,,,,,,,,,,,,,,NoNPI,OEM-Tools,,,,,,,,,P2-High,mchechik,OID wasn't implemented,Fixed
WIFI-7759,450872,1-Critical,[Panasonic][FZ-M1Vmk3]JfP2 frequently causes the BSOD,kjfang,08/Feb/18 12:31 PM,Panasonic,Fixed,Product,,,Closed,20.30 ,STHWFW2758_20.30.4.1,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,xTal,,,,,,,,,P2-High,mchechik,"XTAL tuning is required in order to compensate for temperature.

It was discovered that specific tuning value change (moving caps from <511 to >511) causes large shift in XTAL phase and subsequently on Shared CLK to GLK.

This phase shift may cause platform BSOD due platform PLL losing lock.

In order to prevent this issue we are now limiting max tuning value to 511.",Fixed
WIFI-7754,450876,2-High,"[HP/SIO1556911][Harp][9560/CFL-S/Win RS3]The ""Connect to a wireless display"" button lost after Shut down.(P00RYU-B2P)",cyeh1,08/Feb/18 1:05 AM,HP,Fixed,WinDriver->WiFi Extensions,,,Closed,STHWFW2431_20.20.2.2,STHWFW2524_20.30.0.7,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,cyeh1,This issue is documented and fixed in bug WIFI-5282.,Fixed
WIFI-7753,450877,1-Critical,"[Killer1550][ACER][Quanta][AMD/9260] [disconnect WIFI,click WIFI icon in tray,it will show ""X"" sometimes]",brentonw,08/Feb/18 12:18 AM,Acer,Fixed,System->PHY,,,Closed,20.30.1.2,20.60HF,Killer (1550)  ,,,,,,,,,,,,,,,,,,,,,,BT_WW9,NoNPI,,,,,,,,,P2-High,brentonw,"Lock issue on ch171. WA - mark ch165 as always found.
",Fixed
WIFI-7729,450896,2-High,"[HP][AVZ,Pirate,Merlin][9560/CFL/Win10 RS3] HP 8-14 (WiFi only with attenuation) performance under criteria",cyeh1,07/Feb/18 4:50 PM,HP,Fixed,FW->PHY,,,Closed, STHWFW2524_20.30.0.7,STHWFW2889_20.50.0.4,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,BT_WW9,NoNPI,Performance,,,,,,,,P2-High,cyeh1,"in TxPower init code, when code was adapted to support JfP2 1216 SD.
root cause was a memcpy that used DWORD size and not WORD and so an override occurred",Fixed
WIFI-7688,450925,2-High,[Fujitsu][JfP/CFL/RS3] Can not connect to Sink PC with Miracast when PC connect to W52 AP.,kjfang,05/Feb/18 1:52 PM,Fujitsu,Fixed,WinDriver->WiFi Extensions,,,Closed,STHWFW2598G,STHWFW2800_20.50.0.1,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,Miracast,NoNPI,WiFi_WIN:99.0.36.2,WiFi_WIN:99.0.36.5,,,,,,,P2-High,mchechik,"Intel GO which was configured to a mobile device chose UNII1 (Indoor) channels during CS.
A connection failure occurred upon Intel P2P client trying to connect (regulatory issue).",Fixed
WIFI-7678,450930,3-Medium,[Lenovo-Ideapad][Y530-15ICH_FVT][Coffee Lake][LCFC]WIFI connection will disconnect suddenly on Intel 9560 unit.,caizhiqi,04/Feb/18 8:36 PM,Lenovo - IdeaPad,Fixed,Product,,,Closed,STHWFW2524_20.30.0.7G,,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,BT_WW9,NoNPI,,,,,,,,,P3-Medium,caizhiqi,,Fixed
WIFI-7671,450935,2-High,[LG][22V280][GLK/9462/Win10 RS3] There are so many Netwtw06 errors in Event Viewer 0x5010 and NONE_TX_RX_ASSERT 0x411D,frankfcy,02/Feb/18 3:23 PM,LG,Fixed,WinDriver->Platform,,,Closed,WFGDRV01831_V99.0.35.3,STHWFW2787_20.50.0.1,Jefferson Peak 1 Pulsar (9462),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,mchechik,WIFIWIN-4715,Fixed
WIFI-7614,450963,2-High,[HP/SIO1558810][Hornpipe][9560/CFL/Win10 RS3]Red X occurred  when doing S4 S5 test,cyeh1,31/Jan/18 4:43 PM,HP,Fixed,WinDriver->WiFi Extensions,,,Closed,STHWFW2431_20.20.2.2,,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,BT_WW9,NoNPI,,,,,,,,,P2-High,tmargoli,,Fixed
WIFI-7613,450964,2-High,[Fujitsu][JfP/CFL/RS3] Can not connect to AP after resume from S4.,kjfang,31/Jan/18 4:43 PM,Fujitsu,Fixed,WinDriver->WiFi Extensions,,,Closed,STHWFW2598G,STHWFW2716_20.40.0.4,Jefferson Peak 2 Pulsar (9560),,,,,,,,,,,,,,,,,,,,,,NoNPI,,,,,,,,,,P2-High,mchechik,Fix delivered in WIFI-5282.,Fixed
